CustomerKey,FirstName,LastName,FullName,FirstPurchaseDate,Gender,CustomerCity,Country
11000,Jon,Yang,Jon Yang,2020-01-19,Male,Rockhampton,Australia
11001,Eugene,Huang,Eugene Huang,2020-01-15,Male,Seaford,Australia
11002,Ruben,Torres,Ruben Torres,2020-01-07,Male,Hobart,Australia
11003,Christy,Zhu,Christy Zhu,2019-12-29,Female,North Ryde,Australia
11004,Elizabeth,Johnson,Elizabeth Johnson,2020-01-23,Female,Wollongong,Australia
11005,Julio,Ruiz,Julio Ruiz,2019-12-30,Male,East Brisbane,Australia
11006,Janet,Alvarez,Janet Alvarez,2020-01-24,Female,Matraville,Australia
11007,Marco,Mehta,Marco Mehta,2020-01-09,Male,Warrnambool,Australia
11008,Rob,Verhoff,Rob Verhoff,2020-01-25,Female,Bendigo,Australia
11009,Shannon,Carlson,Shannon Carlson,2020-01-27,Male,Hervey Bay,Australia
11010,Jacquelyn,Suarez,Jacquelyn Suarez,2020-01-14,Female,East Brisbane,Australia
11011,Curtis,Lu,Curtis Lu,2019-12-30,Male,East Brisbane,Australia
11012,Lauren,Walker,Lauren Walker,2022-03-16,Female,Bremerton,United States
11013,Ian,Jenkins,Ian Jenkins,2022-04-13,Male,Lebanon,United States
11014,Sydney,Bennett,Sydney Bennett,2022-03-23,Female,Redmond,United States
11015,Chloe,Young,Chloe Young,2022-01-18,Female,Burbank,United States
11016,Wyatt,Hill,Wyatt Hill,2022-02-09,Male,Imperial Beach,United States
11017,Shannon,Wang,Shannon Wang,2020-01-12,Female,Sunbury,Australia
11018,Clarence,Rai,Clarence Rai,2020-01-17,Male,Bendigo,Australia
11019,Luke,Lal,Luke Lal,2022-02-12,Male,Langley,Canada
11020,Jordan,King,Jordan King,2021-12-29,Male,Metchosin,Canada
11021,Destiny,Wilson,Destiny Wilson,2022-01-23,Female,Beaverton,United States
11022,Ethan,Zhang,Ethan Zhang,2022-01-20,Male,Bellingham,United States
11023,Seth,Edwards,Seth Edwards,2022-02-17,Male,Bellflower,United States
11024,Russell,Xie,Russell Xie,2022-06-27,Male,Concord,United States
11025,Alejandro,Beck,Alejandro Beck,2020-01-06,Male,Hawthorne,Australia
11026,Harold,Sai,Harold Sai,2020-01-23,Male,Goulburn,Australia
11027,Jessie,Zhao,Jessie Zhao,2020-01-16,Male,Warrnambool,Australia
11028,Jill,Jimenez,Jill Jimenez,2020-01-26,Female,St. Leonards,Australia
11029,Jimmy,Moreno,Jimmy Moreno,2020-01-19,Male,Bendigo,Australia
11030,Bethany,Yuan,Bethany Yuan,2020-02-05,Female,Cloverdale,Australia
11031,Theresa,Ramos,Theresa Ramos,2020-02-01,Female,Matraville,Australia
11032,Denise,Stone,Denise Stone,2020-02-18,Female,Melbourne,Australia
11033,Jaime,Nath,Jaime Nath,2020-02-15,Male,Milsons Point,Australia
11034,Ebony,Gonzalez,Ebony Gonzalez,2020-02-01,Female,North Sydney,Australia
11035,Wendy,Dominguez,Wendy Dominguez,2020-02-06,Female,Cranbourne,Australia
11036,Jennifer,Russell,Jennifer Russell,2022-01-22,Female,National City,United States
11037,Chloe,Garcia,Chloe Garcia,2022-01-20,Female,Cliffside,Canada
